run_name,dataset,scene,experiment,method,data_dir,output_dir,max_iters,train_seconds,final_psnr
tanks_degraded_Truck_T0,tanks_degraded,Truck,T0,nerfacto,nerf_data/tanks_degraded/T0/Truck,nerf_projects/tanks_degraded/Truck/T0_20ktemp,20000,0,19.06407356262207
tanks_degraded_Truck_T1,tanks_degraded,Truck,T1,nerfacto,nerf_data/tanks_degraded/T1/Truck,nerf_projects/tanks_degraded/Truck/T1_20ktemp,20000,0,16.985689163208008
tanks_degraded_Truck_T2,tanks_degraded,Truck,T2,nerfacto,nerf_data/tanks_degraded/T2/Truck,nerf_projects/tanks_degraded/Truck/T2_20ktemp,20000,0,13.143209457397461

llff_fern_E0_C0_I0_P0,llff,fern,E0_C0_I0_P0,nerfacto,nerf_data/llff_degraded/fern/E0_C0_I0_P0/fern,nerf_projects/llff/fern/E0_C0_I0_P0,20000,587.34,
llff_fern_E1_C1_I0_P0,llff,fern,E1_C1_I0_P0,nerfacto,nerf_data/llff_degraded/fern/E1_C1_I0_P0/fern,nerf_projects/llff/fern/E1_C1_I0_P0,20000,588.44,
llff_fern_E2_C2_I0_P0,llff,fern,E2_C2_I0_P0,nerfacto,nerf_data/llff_degraded/fern/E2_C2_I0_P0/fern,nerf_projects/llff/fern/E2_C2_I0_P0,20000,602.65,
llff_fern_E3_C0_I1_P0,llff,fern,E3_C0_I1_P0,nerfacto,nerf_data/llff_degraded/fern/E3_C0_I1_P0/fern,nerf_projects/llff/fern/E3_C0_I1_P0,20000,586.2,
llff_fern_E4_C0_I2_P0,llff,fern,E4_C0_I2_P0,nerfacto,nerf_data/llff_degraded/fern/E4_C0_I2_P0/fern,nerf_projects/llff/fern/E4_C0_I2_P0,20000,588.85,
llff_fern_E5_C0_I0_P1,llff,fern,E5_C0_I0_P1,nerfacto,nerf_data/llff_degraded/fern/E5_C0_I0_P1/fern,nerf_projects/llff/fern/E5_C0_I0_P1,20000,581.78,
llff_fern_E6_C0_I0_P2,llff,fern,E6_C0_I0_P2,nerfacto,nerf_data/llff_degraded/fern/E6_C0_I0_P2/fern,nerf_projects/llff/fern/E6_C0_I0_P2,20000,590.87,
llff_fern_E7_C1_I1_P0,llff,fern,E7_C1_I1_P0,nerfacto,nerf_data/llff_degraded/fern/E7_C1_I1_P0/fern,nerf_projects/llff/fern/E7_C1_I1_P0,20000,590.59,
llff_fern_E8_C0_I1_P1,llff,fern,E8_C0_I1_P1,nerfacto,nerf_data/llff_degraded/fern/E8_C0_I1_P1/fern,nerf_projects/llff/fern/E8_C0_I1_P1,20000,589.28,
llff_room_E0_C0_I0_P0,llff,room,E0_C0_I0_P0,nerfacto,nerf_data/llff_degraded/room/E0_C0_I0_P0/room,nerf_projects/llff/room/E0_C0_I0_P0,20000,578.93,
llff_room_E1_C1_I0_P0,llff,room,E1_C1_I0_P0,nerfacto,nerf_data/llff_degraded/room/E1_C1_I0_P0/room,nerf_projects/llff/room/E1_C1_I0_P0,20000,585.0,
llff_room_E2_C2_I0_P0,llff,room,E2_C2_I0_P0,nerfacto,nerf_data/llff_degraded/room/E2_C2_I0_P0/room,nerf_projects/llff/room/E2_C2_I0_P0,20000,607.59,
llff_room_E3_C0_I1_P0,llff,room,E3_C0_I1_P0,nerfacto,nerf_data/llff_degraded/room/E3_C0_I1_P0/room,nerf_projects/llff/room/E3_C0_I1_P0,20000,606.63,
llff_room_E4_C0_I2_P0,llff,room,E4_C0_I2_P0,nerfacto,nerf_data/llff_degraded/room/E4_C0_I2_P0/room,nerf_projects/llff/room/E4_C0_I2_P0,20000,610.0,
llff_room_E5_C0_I0_P1,llff,room,E5_C0_I0_P1,nerfacto,nerf_data/llff_degraded/room/E5_C0_I0_P1/room,nerf_projects/llff/room/E5_C0_I0_P1,20000,612.12,
llff_room_E6_C0_I0_P2,llff,room,E6_C0_I0_P2,nerfacto,nerf_data/llff_degraded/room/E6_C0_I0_P2/room,nerf_projects/llff/room/E6_C0_I0_P2,20000,612.4,
llff_room_E7_C1_I1_P0,llff,room,E7_C1_I1_P0,nerfacto,nerf_data/llff_degraded/room/E7_C1_I1_P0/room,nerf_projects/llff/room/E7_C1_I1_P0,20000,623.21,
llff_room_E8_C0_I1_P1,llff,room,E8_C0_I1_P1,nerfacto,nerf_data/llff_degraded/room/E8_C0_I1_P1/room,nerf_projects/llff/room/E8_C0_I1_P1,20000,603.6,
nerf_synthetic_chair_E0_C0_I0_P0,nerf_synthetic,chair,E0_C0_I0_P0,nerfacto,nerf_data/nerf_synthetic_degraded/chair/E0_C0_I0_P0/chair,nerf_projects/nerf_synthetic/chair/E0_C0_I0_P0,20000,,
nerf_synthetic_chair_E1_C1_I0_P0,nerf_synthetic,chair,E1_C1_I0_P0,nerfacto,nerf_data/nerf_synthetic_degraded/chair/E1_C1_I0_P0/chair,nerf_projects/nerf_synthetic/chair/E1_C1_I0_P0,20000,656.49,
nerf_synthetic_chair_E2_C2_I0_P0,nerf_synthetic,chair,E2_C2_I0_P0,nerfacto,nerf_data/nerf_synthetic_degraded/chair/E2_C2_I0_P0/chair,nerf_projects/nerf_synthetic/chair/E2_C2_I0_P0,20000,583.9,
nerf_synthetic_chair_E3_C0_I1_P0,nerf_synthetic,chair,E3_C0_I1_P0,nerfacto,nerf_data/nerf_synthetic_degraded/chair/E3_C0_I1_P0/chair,nerf_projects/nerf_synthetic/chair/E3_C0_I1_P0,20000,583.11,
nerf_synthetic_chair_E4_C0_I2_P0,nerf_synthetic,chair,E4_C0_I2_P0,nerfacto,nerf_data/nerf_synthetic_degraded/chair/E4_C0_I2_P0/chair,nerf_projects/nerf_synthetic/chair/E4_C0_I2_P0,20000,586.22,
nerf_synthetic_chair_E5_C0_I0_P1,nerf_synthetic,chair,E5_C0_I0_P1,nerfacto,nerf_data/nerf_synthetic_degraded/chair/E5_C0_I0_P1/chair,nerf_projects/nerf_synthetic/chair/E5_C0_I0_P1,20000,587.33,
nerf_synthetic_chair_E6_C0_I0_P2,nerf_synthetic,chair,E6_C0_I0_P2,nerfacto,nerf_data/nerf_synthetic_degraded/chair/E6_C0_I0_P2/chair,nerf_projects/nerf_synthetic/chair/E6_C0_I0_P2,20000,580.24,
nerf_synthetic_chair_E7_C1_I1_P0,nerf_synthetic,chair,E7_C1_I1_P0,nerfacto,nerf_data/nerf_synthetic_degraded/chair/E7_C1_I1_P0/chair,nerf_projects/nerf_synthetic/chair/E7_C1_I1_P0,20000,583.38,
nerf_synthetic_chair_E8_C0_I1_P1,nerf_synthetic,chair,E8_C0_I1_P1,nerfacto,nerf_data/nerf_synthetic_degraded/chair/E8_C0_I1_P1/chair,nerf_projects/nerf_synthetic/chair/E8_C0_I1_P1,20000,576.84,
nerf_synthetic_drums_E0_C0_I0_P0,nerf_synthetic,drums,E0_C0_I0_P0,nerfacto,nerf_data/nerf_synthetic_degraded/drums/E0_C0_I0_P0/drums,nerf_projects/nerf_synthetic/drums/E0_C0_I0_P0,20000,773.04,
nerf_synthetic_drums_E1_C1_I0_P0,nerf_synthetic,drums,E1_C1_I0_P0,nerfacto,nerf_data/nerf_synthetic_degraded/drums/E1_C1_I0_P0/drums,nerf_projects/nerf_synthetic/drums/E1_C1_I0_P0,20000,689.46,
nerf_synthetic_drums_E2_C2_I0_P0,nerf_synthetic,drums,E2_C2_I0_P0,nerfacto,nerf_data/nerf_synthetic_degraded/drums/E2_C2_I0_P0/drums,nerf_projects/nerf_synthetic/drums/E2_C2_I0_P0,20000,716.13,
nerf_synthetic_drums_E3_C0_I1_P0,nerf_synthetic,drums,E3_C0_I1_P0,nerfacto,nerf_data/nerf_synthetic_degraded/drums/E3_C0_I1_P0/drums,nerf_projects/nerf_synthetic/drums/E3_C0_I1_P0,20000,730.69,
nerf_synthetic_drums_E4_C0_I2_P0,nerf_synthetic,drums,E4_C0_I2_P0,nerfacto,nerf_data/nerf_synthetic_degraded/drums/E4_C0_I2_P0/drums,nerf_projects/nerf_synthetic/drums/E4_C0_I2_P0,20000,1.77,
nerf_synthetic_drums_E5_C0_I0_P1,nerf_synthetic,drums,E5_C0_I0_P1,nerfacto,nerf_data/nerf_synthetic_degraded/drums/E5_C0_I0_P1/drums,nerf_projects/nerf_synthetic/drums/E5_C0_I0_P1,20000,3.75,
nerf_synthetic_drums_E6_C0_I0_P2,nerf_synthetic,drums,E6_C0_I0_P2,nerfacto,nerf_data/nerf_synthetic_degraded/drums/E6_C0_I0_P2/drums,nerf_projects/nerf_synthetic/drums/E6_C0_I0_P2,20000,1.46,
nerf_synthetic_drums_E7_C1_I1_P0,nerf_synthetic,drums,E7_C1_I1_P0,nerfacto,nerf_data/nerf_synthetic_degraded/drums/E7_C1_I1_P0/drums,nerf_projects/nerf_synthetic/drums/E7_C1_I1_P0,20000,707.81,
nerf_synthetic_drums_E8_C0_I1_P1,nerf_synthetic,drums,E8_C0_I1_P1,nerfacto,nerf_data/nerf_synthetic_degraded/drums/E8_C0_I1_P1/drums,nerf_projects/nerf_synthetic/drums/E8_C0_I1_P1,20000,711.11,
